Country,L1,L2,L3,L4
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Alicetown
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Korokoro
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Moera
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Petone
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Days Bay
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Eastbourne
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Gracefield
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Lowry Bay
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Mahina Bay
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Pencarrow Head
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Point Howard
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Seaview
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Sorrento Bay
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Sunshine Bay
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,York Bay
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Avalon
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Boulcott
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Epuni
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Hutt Central
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Melling
NZ,Greater Wellignton ,Lower Hutt,Hutt Central,Woburn
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Belmont
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Harbour View
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Haywards
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Kelson
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Maungaraki
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Normandale
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Tirohanga
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Manor Park
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Stokes Valley
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Taita
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Fairfield
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Naenae
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Waiwhetu
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Waterloo
NZ,Greater Wellignton ,Upper Hutt,Hutt North,Wainuiomata
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Paraparaumu
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Raumati Beach
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Raumati South
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Otaki
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Otaki Beach
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Te Horo
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Waikanae
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Waikanae Beach
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Maungakotukutuku
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Nikau Valley
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Otaihanga
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,Paraparaumu Beach
NZ,Greater Wellignton ,Kapiti Coast,Kapiti,MacKay
